last_name, first_name,year,on_base_plus_slg,woba,xwoba,wobadif
Ortiz, David,2016,1.021,0.42,0.428,-0.008
Beltre, Adrian,2016,0.879,0.371,0.373,-0.002
Beltran, Carlos,2016,0.85,0.358,0.325,0.033
Werth, Jayson,2016,0.752,0.327,0.341,-0.014
Martinez, Victor,2016,0.826,0.351,0.365,-0.014
Utley, Chase,2016,0.715,0.312,0.313,-0.001
Pujols, Albert,2016,0.78,0.331,0.372,-0.041
Mauer, Joe,2016,0.752,0.327,0.359,-0.032
Cabrera, Miguel,2016,0.956,0.398,0.456,-0.058
Gonzalez, Adrian,2016,0.784,0.334,0.331,0.003
Phillips, Brandon,2016,0.735,0.315,0.294,0.021
Upton, B.J.,2016,0.692,0.297,0.299,-0.002
Molina, Yadier,2016,0.787,0.342,0.342,0
Cano, Robinson,2016,0.882,0.37,0.355,0.015
Encarnacion, Edwin,2016,0.885,0.373,0.383,-0.01
Bautista, Jose,2016,0.817,0.355,0.37,-0.015
Jones, Adam,2016,0.746,0.318,0.337,-0.019
Martin, Russell,2016,0.732,0.322,0.328,-0.006
Granderson, Curtis,2016,0.799,0.339,0.337,0.002
Pagan, Angel,2016,0.748,0.324,0.328,-0.004
Ramirez, Hanley,2016,0.866,0.367,0.357,0.01
Morales, Kendrys,2016,0.795,0.339,0.391,-0.052
Kendrick, Howie,2016,0.691,0.303,0.341,-0.038
Napoli, Mike,2016,0.8,0.343,0.342,0.001
Kinsler, Ian,2016,0.831,0.356,0.33,0.026
Desmond, Ian,2016,0.782,0.336,0.327,0.009
Cruz, Nelson,2016,0.915,0.383,0.401,-0.018
Trumbo, Mark,2016,0.85,0.358,0.376,-0.018
Escobar, Alcides,2016,0.637,0.278,0.27,0.008
Prado, Martin,2016,0.775,0.335,0.328,0.007
Longoria, Evan,2016,0.84,0.35,0.362,-0.012
Cozart, Zack,2016,0.732,0.312,0.291,0.021
Davis, Chris,2016,0.792,0.34,0.351,-0.011
Zobrist, Ben,2016,0.829,0.36,0.362,-0.002
Fowler, Dexter,2016,0.839,0.367,0.36,0.007
Headley, Chase,2016,0.716,0.312,0.312,0
Span, Denard,2016,0.709,0.311,0.329,-0.018
Cabrera, Asdrubal,2016,0.81,0.345,0.323,0.022
Ellsbury, Jacoby,2016,0.695,0.308,0.31,-0.002
Tulowitzki, Troy,2016,0.761,0.327,0.355,-0.028
Blackmon, Charlie,2016,0.931,0.394,0.366,0.028
Frazier, Todd,2016,0.766,0.326,0.315,0.011
Markakis, Nick,2016,0.744,0.321,0.343,-0.022
Pedroia, Dustin,2016,0.824,0.358,0.338,0.02
Nunez, Eduardo,2016,0.757,0.324,0.313,0.011
McCutchen, Andrew,2016,0.766,0.329,0.35,-0.021
Upton, Justin,2016,0.775,0.329,0.342,-0.013
Turner, Justin,2016,0.832,0.353,0.357,-0.004
Posey, Buster,2016,0.796,0.341,0.368,-0.027
Espinosa, Danny,2016,0.681,0.294,0.296,-0.002
Bruce, Jay,2016,0.815,0.34,0.333,0.007
Votto, Joey,2016,0.985,0.413,0.404,0.009
Gardner, Brett,2016,0.711,0.317,0.318,-0.001
Saunders, Michael,2016,0.814,0.348,0.325,0.023
Braun, Ryan,2016,0.903,0.378,0.358,0.02
Gordon, Alex,2016,0.692,0.303,0.327,-0.024
Kemp, Matt,2016,0.803,0.333,0.347,-0.014
Andrus, Elvis,2016,0.798,0.344,0.328,0.016
Cabrera, Melky,2016,0.799,0.342,0.317,0.025
Ramos, Wilson,2016,0.85,0.361,0.358,0.003
Santana, Carlos,2016,0.865,0.37,0.385,-0.015
Gonzalez, Carlos,2016,0.855,0.361,0.346,0.015
Mercer, Jordy,2016,0.697,0.303,0.307,-0.004
Belt, Brandon,2016,0.868,0.374,0.385,-0.011
Carter, Chris,2016,0.821,0.346,0.368,-0.022
Alonso, Yonder,2016,0.683,0.299,0.324,-0.025
Escobar, Yunel,2016,0.743,0.327,0.323,0.004
Cespedes, Yoenis,2016,0.884,0.369,0.373,-0.004
Ramirez, Alexei,2016,0.609,0.264,0.256,0.008
Davis, Khris,2016,0.831,0.349,0.37,-0.021
Martinez, J.D.,2016,0.908,0.384,0.399,-0.015
Valencia, Danny,2016,0.792,0.342,0.352,-0.01
Murphy, Daniel,2016,0.985,0.408,0.406,0.002
Goldschmidt, Paul,2016,0.899,0.382,0.367,0.015
Gonzalez, Marwin,2016,0.69,0.298,0.294,0.004
Altuve, Jose,2016,0.926,0.391,0.391,0
Hernandez, Cesar,2016,0.761,0.335,0.327,0.008
Segura, Jean,2016,0.865,0.371,0.36,0.011
Castro, Starlin,2016,0.733,0.313,0.316,-0.003
Marte, Starling,2016,0.817,0.351,0.338,0.013
Donaldson, Josh,2016,0.952,0.403,0.41,-0.007
Freeman, Freddie,2016,0.968,0.401,0.405,-0.004
Heyward, Jason,2016,0.63,0.282,0.311,-0.029
LeMahieu, DJ,2016,0.906,0.391,0.397,-0.006
Lucroy, Jonathan,2016,0.855,0.361,0.349,0.012
Moreland, Mitch,2016,0.72,0.307,0.337,-0.03
Rizzo, Anthony,2016,0.928,0.391,0.365,0.026
Vogt, Stephen,2016,0.711,0.305,0.315,-0.01
Galvis, Freddy,2016,0.67,0.284,0.273,0.011
Perez, Salvador,2016,0.725,0.308,0.293,0.015
Forsythe, Logan,2016,0.778,0.336,0.357,-0.021
Inciarte, Ender,2016,0.729,0.319,0.296,0.023
Ozuna, Marcell,2016,0.773,0.33,0.344,-0.014
Villar, Jonathan,2016,0.823,0.356,0.331,0.025
Crawford, Brandon,2016,0.772,0.327,0.322,0.005
Harrison, Josh,2016,0.697,0.301,0.291,0.01
Hosmer, Eric,2016,0.761,0.326,0.339,-0.013
Kipnis, Jason,2016,0.809,0.347,0.348,-0.001
Miller, Brad,2016,0.786,0.333,0.324,0.009
Rendon, Anthony,2016,0.797,0.342,0.355,-0.013
Semien, Marcus,2016,0.734,0.315,0.305,0.01
Shaw, Travis,2016,0.726,0.31,0.308,0.002
Springer, George,2016,0.815,0.353,0.355,-0.002
Gregorius, Didi,2016,0.748,0.319,0.278,0.041
Trout, Mike,2016,0.991,0.418,0.43,-0.012
Herrera, Odubel,2016,0.78,0.338,0.315,0.023
Harper, Bryce,2016,0.814,0.343,0.356,-0.013
